dataset,hardware,vmaf_version,clip,complexity,codec,profile,encoder_kind,rung,resolution_p,target_kbps,achieved_kbps,vmaf,wh_per_min,delta_w_watts,n,confidence,source_file,notes
clean_abr_ladder_typical_2026-09-06,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, explicit override 2026-09-06)",football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,cpu,cpu,ladder,720,2800,2830.4,85.1,0.2541,69.58,4,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"fixed ABR-ladder rung (typical per-resolution bitrate); pass 1 of 3; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_abr_ladder_typical_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,gpu_baseline,gpu,ladder,720,2800,2797.4,82.72,0.1051,60.75,7,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"fixed ABR-ladder rung (typical per-resolution bitrate); pass 1 of 3; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_abr_ladder_typical_2026-09-06,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, explicit override 2026-09-06)",football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,cpu,cpu,ladder,540,1600,1625.5,83.26,0.191,67.09,4,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"fixed ABR-ladder rung (typical per-resolution bitrate); pass 1 of 3; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_abr_ladder_typical_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,gpu_baseline,gpu,ladder,540,1600,1601.4,80.2,0.099,57.47,7,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"fixed ABR-ladder rung (typical per-resolution bitrate); pass 1 of 3; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_abr_ladder_typical_2026-09-06,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, explicit override 2026-09-06)",football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,cpu,cpu,ladder,480,1100,1123.3,79.9,0.1832,68.72,5,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"fixed ABR-ladder rung (typical per-resolution bitrate); pass 1 of 3; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_abr_ladder_typical_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,gpu_baseline,gpu,ladder,480,1100,1100.8,74.66,0.1016,58.98,7,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"fixed ABR-ladder rung (typical per-resolution bitrate); pass 1 of 3; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_abr_ladder_typical_2026-09-06,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, explicit override 2026-09-06)",football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,cpu,cpu,ladder,360,800,819.0,81.92,0.163,67.62,5,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"fixed ABR-ladder rung (typical per-resolution bitrate); pass 1 of 3; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_abr_ladder_typical_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h264,gpu_baseline,gpu,ladder,360,800,800.7,75.6,0.1023,59.38,7,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"fixed ABR-ladder rung (typical per-resolution bitrate); pass 1 of 3; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_abr_ladder_typical_2026-09-06,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, explicit override 2026-09-06)",football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h265,cpu,cpu,ladder,720,1700,1716.5,78.85,0.5104,66.09,2,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"fixed ABR-ladder rung (typical per-resolution bitrate); pass 1 of 3; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_abr_ladder_typical_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",football_30s,"sport-broadcast (SI~48.3/TI~10.3, measured 2026-09-04)",h265,gpu_baseline,gpu,ladder,720,1700,1632.4,76.53,0.1218,71.04,7,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"fixed ABR-ladder rung (typical per-resolution bitrate); pass 1 of 3; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
